,Activation,Learning_Rate,Max_Iterations,Hidden_Neurons,Train_Size,MSE_Train,RMSE_Train,MAE_Train,R2_Train,MSE_Test,RMSE_Test,MAE_Test,R2_Test
1,TanH,0.1,50,10,0.8,1936.108215730654,44.001229707028116,94.8721044290156,0.9497457452911426,12924.021968664143,113.68386855074972,94.8721044290156,-0.2908443571561503
2,TanH,0.1,50,10,0.85,2028.0909177251424,45.034330434959756,105.54259149099705,0.944831630315861,16247.411097477729,127.46533292420229,105.54259149099705,-0.36483598330875444
3,TanH,0.1,50,12,0.8,1948.8744890327687,44.14605859001196,83.24951245189123,0.9494143797481451,10604.881922597415,102.9800073926848,83.24951245189123,-0.059209897761191455
4,TanH,0.1,50,12,0.85,1900.3310066256827,43.59278617644991,82.37956387181667,0.9483069705704555,9336.80489253679,96.6271436633454,82.37956387181667,0.21567767258343618
5,TanH,0.1,100,10,0.8,2023.8453880397103,44.987169148988585,65.68910154187606,0.9474684107037314,6415.629947623276,80.09762760296509,65.68910154187606,0.3592103344012253
6,TanH,0.1,100,10,0.85,2062.412475416488,45.4137916872891,84.06546452873867,0.9438980112328588,10022.083011699202,100.11035416828372,84.06546452873867,0.1581120561294892
7,TanH,0.1,100,12,0.8,2152.1292127060246,46.391046686898804,111.0975055912064,0.9441386340169596,17024.367391193555,130.4774593222659,111.0975055912064,-0.700384650719287
8,TanH,0.1,100,12,0.85,2253.3370311412436,47.469327266575455,91.75913104990964,0.9387044588235723,11818.881142607794,108.71467767789129,91.75913104990964,0.007175101983812104
9,TanH,0.15,50,10,0.8,2365.769465056912,48.63917623744169,80.04066041722125,0.9385933181247618,9229.813013998466,96.07191584432188,80.04066041722125,0.07813124462231136
10,TanH,0.15,50,10,0.85,2158.6768776462277,46.46156344384278,90.6961099576533,0.9412794155460392,11523.765287776012,107.34880198575117,90.6961099576533,0.03196580466886134
11,TanH,0.15,50,12,0.8,3716.115600512941,60.95995079158891,87.19659146055862,0.9035432945336377,10213.831446688679,101.0635020503875,87.19659146055862,-0.02015198673210694
12,TanH,0.15,50,12,0.85,3433.4333592689186,58.59550630610609,125.1218717863783,0.9066033385414165,21201.675122515895,145.60795006631986,125.1218717863783,-0.7810104600679386
13,TanH,0.15,100,10,0.8,2142.1418888187522,46.283278717251136,103.74409776438638,0.9443978682448881,15465.36259830897,124.35981102554382,103.74409776438638,-0.5446720912270604
14,TanH,0.15,100,10,0.85,2588.64328932653,50.878711553325815,82.52089044597719,0.9295834182196726,9762.92520257532,98.80751592148908,82.52089044597719,0.17988216467943818
15,TanH,0.15,100,12,0.8,1855.1182763735897,43.0710839934821,67.12591277851648,0.9518479465050189,6849.210383969292,82.75995640386293,67.12591277851648,0.31590455381778315
16,TanH,0.15,100,12,0.85,2127.479700026711,46.124610567751255,79.74944024330274,0.9421280448717628,8848.926089501661,94.06873066806877,79.74944024330274,0.256661097073712
17,Sigmoid,0.1,50,10,0.8,3662.6222588233104,60.51960226920952,136.23188989659997,0.9049317851131709,26097.366306600128,161.54679293195557,136.23188989659997,-1.6065908983435322
18,Sigmoid,0.1,50,10,0.85,2893.98134656339,53.795737252717245,110.40934757227744,0.9212775761723278,18032.364283146973,134.2846390438868,110.40934757227744,-0.514777923086543
19,Sigmoid,0.1,50,12,0.8,3147.926984796513,56.10638987491989,131.87677934696455,0.9182913830882389,24493.195433762066,156.50302052600156,131.87677934696455,-1.4463671750987084
20,Sigmoid,0.1,50,12,0.85,2545.8140596696494,50.45606068322862,111.89829856556457,0.9307484640045273,18452.031651656667,135.8382554792893,111.89829856556457,-0.550031362673078
21,Sigmoid,0.1,100,10,0.8,4786.449653104398,69.1841719839473,132.94934118309234,0.8757613556598358,24889.475912445145,157.7639880088138,132.94934118309234,-1.4859474559895545
22,Sigmoid,0.1,100,10,0.85,3509.480499023769,59.24086848640699,109.45155700683786,0.9045346952262919,17431.72977905228,132.02927621952745,109.45155700683786,-0.4643226487608685
23,Sigmoid,0.1,100,12,0.8,3844.5143983475155,62.004148234997274,142.23445917629255,0.9002105335659071,28379.34983699994,168.46171623546977,142.23445917629255,-1.8345141849552418
24,Sigmoid,0.1,100,12,0.85,3103.0073068100846,55.70464349414764,109.80725482346739,0.9155916272103322,17761.01562161973,133.2704604239804,109.80725482346739,-0.49198374282895463
25,Sigmoid,0.15,50,10,0.8,3345.4917523351387,57.840226074377846,138.3427933700907,0.9131633277095598,26898.350738064837,164.0071667277526,138.3427933700907,-1.686592792183784
26,Sigmoid,0.15,50,10,0.85,3172.752471014175,56.32719122248308,117.80855343529652,0.9136944109815804,20756.54186722798,144.0713082720775,117.80855343529652,-0.7436178022137514
27,Sigmoid,0.15,50,12,0.8,3051.445180574969,55.23988758655261,133.53346810791206,0.9207956961864041,25109.66914155555,158.4603077794422,133.53346810791206,-1.5079402371818427
28,Sigmoid,0.15,50,12,0.85,2539.9226652208713,50.39764543330245,115.88362501197494,0.9309087224150673,19800.613900527427,140.7146541783315,115.88362501197494,-0.6633167081762756
29,Sigmoid,0.15,100,10,0.8,5053.855711122144,71.09047553028566,137.35749383010128,0.8688204770244731,26556.52064667799,162.96171527901265,137.35749383010128,-1.6524509866651345
30,Sigmoid,0.15,100,10,0.85,3778.517230472235,61.469644788889376,110.61488918875757,0.897216326148534,17760.031303306794,133.26676743774794,110.61488918875757,-0.491901056852434
31,Sigmoid,0.15,100,12,0.8,3501.025810309715,59.16946687532105,142.83560469213046,0.9091262351018995,28644.994563226617,169.24832218733104,142.83560469213046,-1.8610466372127057
