,Activation,Learning_Rate,Max_Iterations,Hidden_Neurons,Train_Size,MSE_Train,RMSE_Train,MAE_Train,R2_Train,MSE_Test,RMSE_Test,MAE_Test,R2_Test
1,TanH,0.01,100,10,0.8,2952.072683014825,54.33297969939459,65.94800865977315,0.9233750410612762,6909.141555791732,83.12124611548921,65.94800865977315,0.3099186606374462
2,TanH,0.01,100,10,0.85,3123.2200900505704,55.88577717139282,63.76976146303665,0.9150417966833028,5583.247337829803,74.72113046407826,63.76976146303665,0.530988855722011
3,TanH,0.01,100,12,0.8,2482.4185458857473,49.82387525961572,60.84126926733181,0.9355655366340903,5518.466600251493,74.28638233385371,60.84126926733181,0.44881852658862165
4,TanH,0.01,100,12,0.85,2727.1812470970676,52.22242092336459,60.779234025197034,0.9258148922612095,5112.517181154471,71.50186837527023,60.779234025197034,0.5705317375020382
5,TanH,0.01,150,10,0.8,2875.3210402310297,53.622020105839255,64.30835939314815,0.9253672316704796,6575.537118682127,81.08968564917566,64.30835939314815,0.34323889223480064
6,TanH,0.01,150,10,0.85,3073.661551001962,55.44061283032468,61.1727757683452,0.9163898939403557,5304.979419716309,72.83528965904034,61.1727757683452,0.55436427629598
7,TanH,0.01,150,12,0.8,2601.085078759203,51.00083409866159,63.909715122836225,0.9324853895018241,6137.668342029254,78.34327247459895,63.909715122836225,0.3869729899396539
8,TanH,0.01,150,12,0.85,2671.02689680493,51.68197845288945,59.54697626229467,0.9273424095580002,4984.041945774047,70.59774745538307,59.54697626229467,0.581324079934888
9,TanH,0.001,100,10,0.8,2393.383588508976,48.92221978313102,60.23324381364316,0.9378765569529188,5540.383138040159,74.43374999313254,60.23324381364316,0.4466295145920858
10,TanH,0.001,100,10,0.85,2547.7030455543304,50.474776329908885,57.14390527059957,0.9306970795864504,4976.748153116283,70.5460711387692,57.14390527059957,0.5819367825134332
11,TanH,0.001,100,12,0.8,2407.141880206464,49.06263221848644,60.65836535038264,0.9375194422577243,5519.988707423036,74.29662648749967,60.65836535038264,0.44866649934368685
