,Activation,Learning_Rate,Max_Iterations,Hidden_Neurons,Train_Size,MSE_Train,RMSE_Train,MAE_Train,R2_Train,MSE_Test,RMSE_Test,MAE_Test,R2_Test
1,TanH,0.01,100,5,0.7,5695.827885955677,75.4707087945759,116.34575381704269,0.8654939458651736,17431.659344096068,132.02900947934157,116.34575381704269,-0.6463201677901718
2,TanH,0.01,100,5,0.75,1874.3818614872587,43.29413195211632,57.65812557778164,0.9532771796216749,5273.312297706403,72.61757568045358,57.65812557778164,0.5427225304181124
3,TanH,0.01,100,5,0.8,6272.5963131310245,79.19972419857928,92.20290288704483,0.8371864494738659,12661.966658643205,112.52540450335296,92.20290288704483,-0.26467041385711254
4,TanH,0.01,100,10,0.7,1789.5696282147312,42.3033051689195,61.35159689719435,0.9577396027214568,5645.65442953126,75.13757002679326,61.35159689719435,0.4668003450366184
5,TanH,0.01,100,10,0.75,3299.1102475919597,57.437881642622926,79.79655929342465,0.9177628963053329,10271.001682184118,101.34595049721581,79.79655929342465,0.10934581641537389
6,TanH,0.01,100,10,0.8,614463.0997236684,783.8769672108426,118.62721898422522,-14.949204115666605,18807.014575635738,137.13866914782182,118.62721898422522,-0.8784344918923239
7,TanH,0.01,200,5,0.7,2909.1893182159865,53.936901266349984,82.8371537910003,0.9312999648586181,9833.30860801469,99.16304053433764,82.8371537910003,0.07130044490215093
8,TanH,0.01,200,5,0.75,5188.608841238923,72.03199873138966,76.52884389019644,0.8706632603079938,8620.29858582923,92.84556309177746,76.52884389019644,0.2524872221046327
9,TanH,0.01,200,5,0.8,3931.134066586743,62.69875649952512,66.60729307040435,0.8979622052776827,6337.5015181387125,79.6084261754917,66.60729307040435,0.3670137598811686
10,TanH,0.01,200,10,0.7,2093.213953295541,45.751655197331836,88.8332501552069,0.9505690911040399,11483.36131727445,107.16044660822598,88.8332501552069,-0.0845375622288922
11,TanH,0.01,200,10,0.75,2119.3475915930794,46.03637248516741,63.18172845967531,0.9471709053123952,6014.59166036339,77.55379849087593,63.18172845967531,0.478442182114733
12,TanH,0.01,200,10,0.8,2529.128175251213,50.29043820897978,62.1147042335812,0.9343531262985437,5780.266449860454,76.02806356774092,62.1147042335812,0.4226700985380164
13,TanH,0.1,100,5,0.7,2987.124345735928,54.65459125943517,191.88141042699198,0.9294595417909822,44927.09066554827,211.9601157424393,191.88141042699198,-3.243105833058899
14,TanH,0.1,100,5,0.75,2983.5159061312006,54.62156997131445,88.67351414699431,0.9256297339180203,11448.770947329887,106.99892965506659,88.67351414699431,0.007215064638843693
15,TanH,0.1,100,5,0.8,1871.8622903106839,43.26502386813954,55.35283083252061,0.9514133334320477,4760.755822261952,68.99823057341364,55.35283083252061,0.5244982712142255
16,TanH,0.1,100,10,0.7,1641.5699356877694,40.51629222532301,139.48714132191552,0.9612345915191439,24230.084658076383,155.66015758079,139.48714132191552,-1.2883924159156361
